agno,rbd,dgv_rbd,nom_rbd,cod_depe,cod_depe2,rural_rbd,cod_reg_rbd,cod_pro_rbd,cod_com_rbd,nom_com_rbd,cod_deprov_rbd,nom_deprov_rbd,estado_estab,mat_si_1,mat_hom_1,mat_muj_1,mat_ens_1,mat_si_2,mat_hom_2,mat_muj_2,mat_ens_2,mat_hom_3,mat_muj_3,mat_ens_3,mat_hom_4,mat_muj_4,mat_ens_4,mat_hom_5,mat_muj_5,mat_ens_5,mat_hom_6,mat_muj_6,mat_ens_6,mat_hom_7,mat_muj_7,mat_ens_7,mat_hom_8,mat_muj_8,mat_ens_8,mat_hom_tot,mat_muj_tot,mat_si_tot,mat_total,cur_sim_01,cur_sim_02,cur_sim_03,cur_sim_04,cur_sim_05,cur_sim_06,cur_sim_07,cur_sim_08,cur_sim_tot,cur_comb_01,cur_comb_02,cur_comb_tot
2018,1,9,LICEO POLITECNICO ARICA,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,164,408,143,132,275,387,296,0,683,0,0,0,0,0,0,19,15,34,0,0,0
2018,2,7,PARVULARIO LAS ESPIGUITAS,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,99,86,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,86,0,185,8,0,0,0,0,0,0,0,8,0,0,0
2018,3,5,ESC. PEDRO VICENTE GUTIERREZ TORRES,2,1,1,15,151,15101,ARICA,151,ARICA,1,0,0,0,0,0,0,0,0,392,115,507,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,398,115,0,513,0,0,41,0,0,2,0,0,43,0,0,0
2018,4,3,LICEO OCTAVIO PALMA PEREZ,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,541,1012,0,0,0,0,0,0,0,0,0,471,541,0,1012,0,0,0,0,27,0,0,0,27,0,0,0
2018,5,1,JOVINA NARANJO FERNANDEZ,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,0,0,0,0,155,101,256,0,0,0,0,0,0,262,289,551,102,81,183,0,0,0,0,0,0,519,471,0,990,0,8,0,0,16,5,0,0,29,0,0,0
2018,7,8,L. POLI. ANTONIO VARAS DE LA BARRA,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,464,1146,0,0,0,682,464,0,1146,0,0,0,0,0,0,39,0,39,0,0,0
2018,8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,26,30,56,0,141,122,263,0,0,0,0,0,0,191,141,332,0,0,0,0,0,0,0,0,0,358,293,0,651,2,8,0,0,12,0,0,0,22,0,0,0
2018,9,4,ESCUELA REPUBLICA DE ISRAEL,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,99,96,195,0,708,631,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,727,0,1534,7,36,0,0,0,0,0,0,43,0,0,0
2018,10,8,ESCUELA REPUBLICA DE FRANCIA,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,1,27,28,0,4,131,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,158,0,163,0,7,0,0,0,0,0,0,7,1,0,1
2018,11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,27,24,51,0,195,123,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,147,0,369,2,12,0,0,0,0,0,0,14,0,0,0
2018,12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,24,20,44,0,156,123,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,143,0,323,2,9,0,0,0,0,0,0,11,0,0,0
2018,13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,17,12,29,0,141,93,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,105,0,263,2,8,0,0,0,0,0,0,10,0,0,0
2018,14,0,ESCUELA ROMULO J. PENA MATURANA,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,27,29,56,0,135,100,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,129,0,291,2,8,0,0,0,0,0,0,10,0,0,0
2018,15,9,LICEO ARTISTICO DR. JUAN NOE CREVANI,2,1,0,15,151,15101,ARICA,151,ARICA,1,0,0,0,0,0,122,149,271,0,0,0,0,0,0,72,66,138,0,0,0,0,0,0,0,0,0,194,215,0,409,0,8,0,0,4,0,0,0,12,0,0,0
