AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT,
2018;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;1;65;1852;0;0;0;0;1;44;1;14;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;69;1998
2018;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;2;1;0;1;8;311;0;0;0;0;1;44;4;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;445
2018;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;151;15101;ARICA;151;ARICA;2;1;1;1;23;829;0;0;0;0;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;917
2018;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;1;48;1843;0;0;0;0;1;44;14;420;0;0;1;44;2;88;3;132;0;0;0;0;0;0;0;0;0;0;0;0;69;2571
2018;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;1;59;2161;2;88;2;88;1;44;3;94;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;69;2563
2018;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;1;73;2793;2;61;0;0;1;44;2;49;0;0;2;88;1;44;2;88;1;44;3;124;0;0;0;0;0;0;0;0;87;3335
2018;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;2;1;0;1;42;1417;0;0;1;44;1;44;4;152;0;0;1;44;2;88;2;88;0;0;0;0;0;0;0;0;0;0;0;0;53;1877
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;1;82;2975;0;0;0;0;1;44;4;139;0;0;0;0;2;88;2;74;0;0;2;84;0;0;0;0;0;0;0;0;93;3404
2018;10;8;ESCUELA REPUBLICA DE FRANCIA;15;151;15101;ARICA;151;ARICA;2;1;0;1;13;362;2;88;0;0;1;44;5;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;22;689
2018;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;151;ARICA;2;1;0;1;30;1056;0;0;0;0;1;44;2;84;0;0;1;44;2;88;1;44;0;0;0;0;0;0;0;0;0;0;2;45;39;1405
2018;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;151;15101;ARICA;151;ARICA;2;1;0;1;24;761;0;0;0;0;1;44;3;90;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;31;1027
2018;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;151;15101;ARICA;151;ARICA;2;1;0;1;17;586;0;0;0;0;1;44;5;163;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;26;925
2018;14;0;ESCUELA ROMULO J. PENA MATURANA;15;151;15101;ARICA;151;ARICA;2;1;0;1;22;699;0;0;0;0;1;44;3;78;0;0;1;44;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;28;909
2018;15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI;15;151;15101;ARICA;151;ARICA;2;1;0;1;52;1693;1;44;1;44;1;44;3;121;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;60;2034
2018;16;7;ESCUELA REGIMIENTO RANCAGUA;15;151;15101;ARICA;151;ARICA;2;1;0;1;21;699;0;0;1;44;1;44;6;154;0;0;1;44;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;31;1029
2018;17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;151;15101;ARICA;151;ARICA;2;1;0;1;25;931;0;0;0;0;1;44;0;0;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;29;1107
2018;18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;15;151;15101;ARICA;151;ARICA;2;1;0;1;28;978;0;0;0;0;1;44;3;94;0;0;1;44;1;44;1;44;0;0;1;40;0;0;0;0;0;0;0;0;36;1288
2018;19;1;ESC. HUMBERTO VALENZUELA GARCIA;15;151;15101;ARICA;151;ARICA;2;1;0;1;22;743;0;0;0;0;1;44;1;30;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;2;66;29;1015
2018;20;5;ESCUELA TUCAPEL;15;151;15101;ARICA;151;ARICA;2;1;0;1;36;1312;0;0;0;0;1;44;10;267;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;50;1755
2018;21;3;ESCUELA CARLOS GUIRAO MASSIF;15;151;15101;ARICA;151;ARICA;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
