AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,"HH_TOT,",mat_hom_1,mat_muj_1,mat_ens_1,mat_hom_2,mat_muj_2,mat_ens_2,mat_hom_3,mat_muj_3,mat_ens_3,mat_hom_4,mat_muj_4,mat_ens_4,mat_hom_5,mat_muj_5,mat_ens_5,mat_hom_6,mat_muj_6,mat_ens_6,mat_hom_7,mat_muj_7,mat_ens_7,mat_hom_8,mat_muj_8,mat_ens_8,mat_hom_tot,mat_muj_tot,mat_total
2018,1,9,LICEO POLITECNICO ARICA,15,151,15101,ARICA,151,ARICA,2,1,0,1,65,1852,0,0,0,0,1,44,1,14,0,0,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,69,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,164,408,143,132,275,387,296,683
2018,2,7,PARVULARIO LAS ESPIGUITAS,15,151,15101,ARICA,151,ARICA,2,1,0,1,8,311,0,0,0,0,1,44,4,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,445,99,86,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,86,185
2018,3,5,ESC. PEDRO VICENTE GUTIERREZ TORRES,15,151,15101,ARICA,151,ARICA,2,1,1,1,23,829,0,0,0,0,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,917,0,0,0,0,0,0,392,115,507,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,398,115,513
2018,4,3,LICEO OCTAVIO PALMA PEREZ,15,151,15101,ARICA,151,ARICA,2,1,0,1,48,1843,0,0,0,0,1,44,14,420,0,0,1,44,2,88,3,132,0,0,0,0,0,0,0,0,0,0,0,0,69,2571,0,0,0,0,0,0,0,0,0,0,0,0,471,541,1012,0,0,0,0,0,0,0,0,0,471,541,1012
2018,5,1,JOVINA NARANJO FERNANDEZ,15,151,15101,ARICA,151,ARICA,2,1,0,1,59,2161,2,88,2,88,1,44,3,94,0,0,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,69,2563,0,0,0,155,101,256,0,0,0,0,0,0,262,289,551,102,81,183,0,0,0,0,0,0,519,471,990
2018,7,8,L. POLI. ANTONIO VARAS DE LA BARRA,15,151,15101,ARICA,151,ARICA,2,1,0,1,73,2793,2,61,0,0,1,44,2,49,0,0,2,88,1,44,2,88,1,44,3,124,0,0,0,0,0,0,0,0,87,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,464,1146,0,0,0,682,464,1146
2018,8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,151,15101,ARICA,151,ARICA,2,1,0,1,42,1417,0,0,1,44,1,44,4,152,0,0,1,44,2,88,2,88,0,0,0,0,0,0,0,0,0,0,0,0,53,1877,26,30,56,141,122,263,0,0,0,0,0,0,191,141,332,0,0,0,0,0,0,0,0,0,358,293,651
2018,9,4,ESCUELA REPUBLICA DE ISRAEL,15,151,15101,ARICA,151,ARICA,2,1,0,1,82,2975,0,0,0,0,1,44,4,139,0,0,0,0,2,88,2,74,0,0,2,84,0,0,0,0,0,0,0,0,93,3404,99,96,195,708,631,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,727,1534
2018,10,8,ESCUELA REPUBLICA DE FRANCIA,15,151,15101,ARICA,151,ARICA,2,1,0,1,13,362,2,88,0,0,1,44,5,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,22,689,1,27,28,4,131,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,158,163
2018,11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,15,151,15101,ARICA,151,ARICA,2,1,0,1,30,1056,0,0,0,0,1,44,2,84,0,0,1,44,2,88,1,44,0,0,0,0,0,0,0,0,0,0,2,45,39,1405,27,24,51,195,123,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,147,369
2018,12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,15,151,15101,ARICA,151,ARICA,2,1,0,1,24,761,0,0,0,0,1,44,3,90,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,31,1027,24,20,44,156,123,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,143,323
2018,13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15,151,15101,ARICA,151,ARICA,2,1,0,1,17,586,0,0,0,0,1,44,5,163,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,26,925,17,12,29,141,93,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,105,263
2018,14,0,ESCUELA ROMULO J. PENA MATURANA,15,151,15101,ARICA,151,ARICA,2,1,0,1,22,699,0,0,0,0,1,44,3,78,0,0,1,44,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,28,909,27,29,56,135,100,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,129,291
2018,15,9,LICEO ARTISTICO DR. JUAN NOE CREVANI,15,151,15101,ARICA,151,ARICA,2,1,0,1,52,1693,1,44,1,44,1,44,3,121,0,0,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,60,2034,0,0,0,122,149,271,0,0,0,0,0,0,72,66,138,0,0,0,0,0,0,0,0,0,194,215,409
2018,16,7,ESCUELA REGIMIENTO RANCAGUA,15,151,15101,ARICA,151,ARICA,2,1,0,1,21,699,0,0,1,44,1,44,6,154,0,0,1,44,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,31,1029,23,12,35,145,65,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,77,245
2018,17,5,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,15,151,15101,ARICA,151,ARICA,2,1,0,1,25,931,0,0,0,0,1,44,0,0,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,29,1107,34,33,67,144,143,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,176,354
2018,18,3,ESC. COMTE. JUAN JOSE SAN MARTIN,15,151,15101,ARICA,151,ARICA,2,1,0,1,28,978,0,0,0,0,1,44,3,94,0,0,1,44,1,44,1,44,0,0,1,40,0,0,0,0,0,0,0,0,36,1288,16,16,32,165,120,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,136,317
2018,19,1,ESC. HUMBERTO VALENZUELA GARCIA,15,151,15101,ARICA,151,ARICA,2,1,0,1,22,743,0,0,0,0,1,44,1,30,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,2,66,29,1015,26,16,42,160,124,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,140,326
2018,20,5,ESCUELA TUCAPEL,15,151,15101,ARICA,151,ARICA,2,1,0,1,36,1312,0,0,0,0,1,44,10,267,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,50,1755,45,32,77,223,171,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,203,471
